game_id,n,thr,acc,prec,rec,auc,cm
c2a354fe-eb34-4980-af00-8f5ff6b00143,189,0.365,0.873015873015873,0.8181818181818182,0.9,0.9588302752293578,"[[93, 16], [8, 72]]"
ee8745f1-863f-47cf-a43d-d90c58cc9bb2,160,0.355,0.85,0.7802197802197802,0.9466666666666668,0.9661176470588236,"[[65, 20], [4, 71]]"
6d601c99-9173-445f-a647-dadbb152fe96,136,0.45,0.8970588235294118,0.8,0.9361702127659576,0.9703562036815684,"[[78, 11], [3, 44]]"
b68967fe-bf82-42d8-9557-878395f37f6f,171,0.36,0.9181286549707602,0.9148936170212766,0.9347826086956522,0.9763346175013758,"[[71, 8], [6, 86]]"
74c4f686-fa1b-4c9a-ace4-f09af0ff6732,147,0.51,0.8707482993197279,0.8,0.918032786885246,0.9515821578345408,"[[72, 14], [5, 56]]"
