game_date,game_id,n_shots,accuracy,n_FP,n_FN,n_uncertain
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,189,0.899,9,10,14
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,160,0.906,10,5,10
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,136,0.912,10,2,7
