game_date,game_id,play_id,classification,prob,g_far_dmin,g_near_inside
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,6572233b-994d-4a24-8f22-3a7882c505c0,FG_MISS,0.9982455137289218,5.068754592854464,0.08064516129032258
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,c49d07f5-1ecf-427a-aaee-a965c5c9b202,FREE_THROW_MISS,0.9972527006059962,1.4000904421158622,0.24855491329479767
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,b7f1e5e1-4f37-46da-8daa-9a26974310cb,FREE_THROW_MISS,0.9948162168843385,2.3662141201553104,0.25274725274725274
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,6b1f7fc0-1f37-4507-80df-37476aba9493,FREE_THROW_MISS,0.9918014688104884,7.375664385426097,0.17032967032967034
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,7f5aaca9-7984-46c5-ad59-462cad4c462b,FREE_THROW_MISS,0.991403751110643,1.3821408156186912,0.18719211822660098
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,962fc55f-5ef0-49a0-a9f6-715eea8d8840,FREE_THROW_MISS,0.9884781970747791,1.3076179591494157,0.20754716981132076
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,8456e087-69e4-4f13-ab05-143a2210f2aa,3PT_MISS,0.9855535953055437,3.107439316882205,0.16129032258064516
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,3d070076-627a-48e9-930f-7fa4ead1b921,FG_MISS,0.9840724808697673,2.916190153571783,0.17543859649122806
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,8df06b5d-7473-429e-b656-c19b6ab59523,FG_MISS,0.9840469841424014,3.4705947242959847,0.21476510067114093
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,c78720ae-c761-467c-afdb-c6d10cf1bf76,FG_MISS,0.9649714474166599,3.0157744042478214,0.13986013986013987
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,2436b728-053c-41d9-a607-0a2092549d00,4PT_MISS,0.9607867260982013,5.836850368663458,0.2671232876712329
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,e889f97b-5827-4f61-a9d7-8b198f3399db,FREE_THROW_MISS,0.9314297289718363,1.212254802217702,0.19421487603305784
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,87ce88f0-24ee-4593-8e29-703ba248222b,FG_MISS,0.9306089396226904,2.9318231207668015,0.10569105691056911
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,1eb1452a-5313-4356-a718-59d616923eab,FG_MISS,0.9037403821943905,3.5845762496035944,0.0979020979020979
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,1148d96f-e67c-4f19-b96e-ddd4ec6d42cc,FG_MISS,0.8679141548164792,7.838250204431625,0.05405405405405406
